Dimension: array length (n),Time (clock)
1349,90.080000
1350,90.040000
1351,90.180000
1352,90.470000
1353,90.480000
1354,90.380000
1355,90.340000
1356,90.520000
1357,90.640000
1358,90.750000
1359,90.770000
1360,89.260000
1361,88.630000
1362,88.730000
1363,88.870000
1364,89.000000
1365,89.480000
1366,89.450000
1367,89.600000
1368,89.640000
1369,89.550000
1370,91.630000
1371,91.810000
1372,92.090000
1373,92.090000
1374,92.070000
1375,92.210000
1376,92.260000
1377,92.220000
1378,92.380000
1379,92.270000
1380,92.510000
1381,92.580000
1382,92.550000
1383,92.620000
1384,92.730000
1385,91.460000
1386,91.690000
1387,93.240000
1388,91.060000
1389,90.880000
1390,91.640000
1391,91.080000
1392,90.850000
1393,92.600000
1394,93.450000
1395,93.320000
1396,93.310000
1397,93.220000
1398,93.710000
1399,93.660000
1400,93.490000
1401,93.600000
1402,93.600000
1403,93.800000
1404,93.910000
1405,94.010000
1406,93.970000
1407,93.860000
1408,93.500000
1409,92.160000
1410,92.030000
1411,92.020000
1412,92.050000
1413,92.490000
1414,92.690000
1415,92.510000
1416,92.430000
1417,92.620000
1418,94.140000
1419,95.100000
1420,95.080000
1421,95.180000
1422,95.160000
1423,95.310000
1424,95.470000
1425,95.680000
1426,95.540000
1427,95.780000
1428,95.670000
1429,95.930000
1430,96.010000
1431,96.070000
1432,96.020000
1433,96.220000
1434,95.980000
1435,95.260000
1436,94.590000
1437,94.220000
1438,94.540000
1439,94.140000
1440,94.460000
1441,94.900000
1442,94.280000
1443,94.790000
1444,96.720000
1445,96.880000
1446,97.070000
1447,96.720000
1448,96.920000
1449,97.020000
1450,97.050000
1451,97.160000
1452,97.120000
1453,97.270000
1454,97.370000
1455,97.470000
1456,97.570000
1457,97.680000
1458,95.750000
1459,95.330000
1460,95.490000
1461,96.070000
1462,95.630000
1463,96.000000
1464,95.710000
1465,96.380000
1466,95.720000
1467,98.020000
1468,98.350000
1469,98.280000
1470,98.400000
1471,98.440000
1472,98.610000
1473,98.620000
1474,98.660000
1475,98.800000
1476,98.980000
1477,98.860000
1478,99.150000
1479,99.550000
1480,99.260000
1481,99.390000
1482,99.340000
1483,98.180000
1484,97.320000
1485,97.430000
1486,97.370000
1487,97.670000
1488,98.260000
1489,98.410000
1490,97.800000
1491,98.440000
1492,100.320000
1493,100.110000
1494,100.510000
1495,100.570000
1496,100.520000
1497,100.520000
1498,100.650000
1499,100.870000
1500,100.800000
1501,100.920000
1502,101.020000
1503,101.050000
1504,101.350000
1505,99.820000
1506,99.460000
1507,99.190000
1508,99.010000
1509,99.090000
1510,98.920000
1511,99.090000
1512,99.250000
1513,99.870000
1514,101.230000
1515,101.890000
1516,101.920000
1517,102.210000
1518,102.030000
1519,102.120000
